dem_jx.tif,gdp2015.tif,temp21.tif,Type
0.0451128,0,0,0
0.0225564,0.346353,0,0
0.0263158,0.214561,0.2,0
0.0300752,0.392518,0.2,0
0.0300752,0.277251,0.2,0
0.0225564,0.333749,0.2,0
0.018797,0.220386,0.2,0
0.056391,0.311655,0.2,0
0.0300752,0.286081,0,0
0.075188,0.338255,0.2,0
0.0338346,0.280328,0,0
0.0150376,0.566629,0.2,0
0.0225564,0.349174,0.2,0
0.0338346,0.320265,0.2,0
0.0338346,0.318543,0.2,0
0.0263158,0.283992,0.2,0
0.0263158,0.313743,0.2,0
0.0300752,0.391016,0.2,0
0.0451128,0.349723,0.2,0
0.0338346,0.313304,0,0
0.0300752,0.299014,0.2,0
0.0225564,0.304767,0.2,0
0.0451128,0.41311,0.2,0
0.0300752,0.32261,0.2,0
0.0300752,0.274649,0.2,0
0.0263158,0.288279,0.2,0
0.0300752,0.333382,0,0
0.0300752,0.305023,0.4,0
0.0300752,0.397171,0.2,0
0.0300752,0.288755,0.2,0
0.0263158,0.27377,0.2,0
0.0338346,0.237497,0.4,0
0.0225564,0.300663,0.4,0
0.0300752,0.397245,0.6,0
0.0263158,0.280841,0.6,0
0.037594,0.299967,0.6,0
0.0263158,0.312058,0.4,0
0.0263158,0.276628,0.4,0
0.0225564,0.297805,0.4,0
0.0225564,0.32272,0.6,0
0.037594,0.292712,0.4,0
0.0263158,0.326604,0.6,0
0.037594,0.247902,0.6,0
0.075188,0.353754,0.8,0
0.0338346,0.316198,0.4,0
0.0714286,0.344887,0.8,0
0.018797,0.303448,0.4,0
0.0338346,0.331001,0.8,0
0.018797,0.303814,0.4,0
0.0639098,0,0.6,1
