aSlopwgs84r.tif,ChinaDemSigned1r.tif,cngdp20101r.tif,dist2highwayr.tif,dist2hsrstationsr.tif,dist2importanttownr.tif,dist2iprimaryr.tif,dist2isecondaryr.tif,dist2prefecture_cityr.tif,dist2provincial_capitalr.tif,dist2railwayr.tif,dist2trunkr.tif,HWSD_China_Geo1r.tif,p0p2010_wgs84r.tif,wc2.0_bio_30s_01r.tif,wc2.0_bio_30s_12r.tif,Type
0.331236,0.160792,0.00133222,0.195184,0.481209,0.583605,0.485852,0.0137599,0.505229,0.602872,0.220668,0.246318,0.917369,0,0.855785,0.0120482,0
0.0735878,0.120594,0.000713083,0.179505,0.476049,0.572452,0.449926,0.0384561,0.499653,0.608964,0.22628,0.239393,0.010118,2.06143e-05,0.863118,0.0150602,0
0.295205,0.217687,0.000476515,0.246648,0.457856,0.582952,0.609477,0.0331383,0.478411,0.598457,0.252,0.226743,0.887015,0,0.82591,0.0391566,0
0.177899,0.388992,0.000264177,0.471808,0.924009,0.611206,0.197393,0.167415,0.549244,0.330832,0.301181,0.334117,0.959528,0,0.564367,0.0431727,0
0.220558,0.469697,0.000201956,0.50074,0.944821,0.605276,0.152836,0.152066,0.561134,0.326029,0.30401,0.319657,0.959528,0.039229,0.542368,0.0562249,0
0.039229,0.305504,0.000401153,0.53378,0.943802,0.598688,0.164453,0.142181,0.574772,0.320676,0.311548,0.305706,0.959528,0,0.647746,0.0210843,0
0.092495,0.319109,0.000401153,0.53745,0.946399,0.600375,0.152836,0.149946,0.577424,0.321474,0.30847,0.303524,0.959528,0,0.605921,0.0351406,0
0.138264,0.379097,0.0195136,0.489232,0.927205,0.613129,0.156826,0.181389,0.558876,0.331133,0.294509,0.325126,0.959528,0.0859204,0.581477,0.0391566,0
0.237701,0.301793,0.000428085,0.303676,0.439065,0.595455,0.647926,0.0589889,0.456663,0.586823,0.277549,0.217604,0.887015,0,0.826725,0.063253,0
0.274848,0.380334,6.94104e-05,0.490543,0.926196,0.614009,0.15322,0.185221,0.559927,0.331585,0.292992,0.324483,0.959528,0,0.581477,0.0391566,0
0.313676,0.388064,6.94104e-05,0.498304,0.930324,0.613319,0.137516,0.183482,0.563525,0.330817,0.292378,0.320447,0.959528,0,0.592613,0.0381526,0
0.344727,0.418986,0.000293449,0.315918,0.473059,0.730285,0.690704,0.335531,0.502071,0.501605,0.349575,0.325383,0.892074,0,0.597773,0.0692771,0
0.169,0.384045,6.94104e-05,0.49712,0.923194,0.617211,0.137055,0.199576,0.564647,0.333146,0.287091,0.32125,0.959528,0,0.566268,0.0502008,0
0.281424,0.532468,0.000877935,0.485757,0.937338,0.590405,0.0995712,0.136661,0.61858,0.311498,0.311365,0.27337,0.959528,0.000865801,0.45057,0.0843373,0
0.464697,0.505875,9.04612e-05,0.378297,0.855355,0.642333,0.258776,0.206387,0.544271,0.350967,0.284566,0.367005,0.959528,0,0.524443,0.0833333,0
0.203984,0.410946,0.000279564,0.510118,0.929961,0.616204,0.109077,0.197317,0.570759,0.331944,0.285945,0.314407,0.959528,0,0.573601,0.0481928,0
0.222698,0.417749,6.94104e-05,0.50713,0.92716,0.617158,0.114027,0.200661,0.569674,0.332642,0.285107,0.315989,0.959528,0,0.573601,0.0481928,0
