Highways_R2005_test3.tif,Type
0.0166124,1
0.0808104,0
0.0100182,0
0.00794453,1
0.0102377,1
0.0237824,1
0.00209245,1
0.00766842,0
0.0173132,0
0.0298767,1
0.0156847,0
0.0128086,0
0.0288833,0
0.0308231,0
0.017236,0
0.0187388,0
0.0320283,0
0.0404819,0
0.0398432,1
0.0291803,0
0.0395672,0
0.0154528,0
0.0501948,0
0.0207746,0
0.00499229,0
0.01631,0
0.0541636,0
0.0130916,0
0.0582534,0
0.0653707,1
0.0424666,0
0.0264638,0
0.0118923,0
0.0107537,0
0.116075,0
0.056527,0
0.0589757,0
0.0347221,0
0.0399708,0
0.0365959,0
0.0291063,0
0.0141322,0
0.0552309,0
0.046761,0
0.0665811,1
0.0444855,0
0.0336017,0
0.0749133,1
0.0535438,0
0.0254764,1
0.0624465,1
0.0394444,1
0.0589188,1
0.0133236,1
0.0503213,0
0.0513646,1
0.0375861,1
0.0866408,1
0.151226,1
0.0597413,0
0.0112052,1
0.021986,1
0.136069,1
0.0363004,0
0.11038,1
0.0122319,1
0.0310415,0
0.0357769,0
0.0966124,1
0.0107299,1
0.0351932,0
0.212526,1
0.222643,1
0.252906,1
0.0880261,0
0.071728,0
0.259721,1
0.0637147,0
0.106858,0
0.0945857,0
0.343623,0
0.104957,0
0.293266,1
0.129555,1
0.114798,0
0.294845,0
0.11675,1
0.315602,0
0.140413,0
0.33517,1
0.273812,1
0.333512,1
0.301731,1
0.143699,0
0.236189,1
0.0239565,1
0.311307,1
0.24715,0
0.194457,0
0.194457,1
0.308782,1
0.113259,1
0.151442,0
0.0372116,1
0.0120532,1
0.0263252,1
0.191223,1
0.179354,1
0.166317,0
0.15003,1
0.092926,0
0.0695645,0
0.0644374,0
0.184697,1
0.0185513,0
0.271611,1
0.251953,1
0.125114,0
0.295206,0
0.291731,0
0.0853215,1
0.0524736,0
0.373088,1
0.180258,1
0.361274,1
0.0327092,0
0.164262,0
0.329019,1
0.302022,1
0.299278,1
0.262661,1
0.194329,1
0.0368054,0
0.261409,1
0.417946,1
0.200926,1
0.0124242,0
0.0567227,1
0.343237,0
0.136621,1
0.168594,0
0.0445062,1
0.0193336,0
0.141955,0
0.134462,0
0.120448,0
0.090304,0
0.189097,1
0.0877366,0
0.147383,0
0.150601,1
0.0280386,1
0.0359901,0
0.0876894,0
0.448299,1
0.0364833,1
0.087279,0
0.152792,0
0.0222567,1
0.0999295,0
0.206326,1
0.0266313,1
0.302862,0
0.240233,1
0.149768,1
0.0105871,1
0.15192,1
0.191005,1
0.400716,1
0.152367,0
0.0291923,0
0.0918525,1
0.394963,0
0.112866,1
0.125284,1
0.128492,1
0.363221,1
0.039875,1
0.23824,1
0.360269,0
0.285398,0
0.0164964,1
0.138584,1
0.361549,1
0.00945867,0
0.0936795,1
0.0478004,1
0.0865276,0
0.167615,0
0.335982,1
0.33698,1
0.216862,0
0.290188,1
0.287321,1
0.0422016,1
0.319413,1
0.331327,1
0.0312191,1
0.0391611,1
0.309442,1
0.0342685,1
0.114958,1
0.0709596,1
0.286462,1
0.0621853,1
0.207899,1
0.299225,0
0.231524,1
0.225897,0
0.082522,0
0.297114,1
0.284552,0
0.111933,1
0.280907,1
0.329529,1
0.0394326,0
0.116641,0
0.270214,0
0.245937,1
0.085941,0
0.270847,1
0.255826,0
0.0600696,0
0.0276725,1
0.26373,1
0.225473,0
0.0771435,0
0.284158,1
0.204597,0
0.314787,1
0.211742,0
0.108607,0
0.0902711,1
0.29252,0
0.195326,1
0.0956228,0
0.0418892,1
0.191084,1
0.170967,0
0.0460124,1
0.161932,0
0.0943757,0
0.237302,1
0.235033,1
0.175092,0
0.239419,0
0.269256,0
0.177585,1
0.170431,0
0.0966074,0
0.171346,0
0.185535,0
0.315906,0
0.208931,1
0.125029,0
0.00726888,1
0.159249,0
0.17921,0
0.0320031,1
0.00088395,1
0.0796984,1
0.16705,0
0.165544,0
0.0928718,0
0.178534,0
0.059086,0
0.143576,0
0.149338,1
0.0903817,0
0.176293,1
0.171026,0
0.13611,1
0.160383,1
0.088097,1
0.206894,0
0.169689,0
0.129124,1
0.112363,1
0.24277,0
0.0872461,0
0.108957,1
0.109839,1
0.106618,0
0.143564,1
0.339237,1
0.211725,0
0.129973,0
0.104584,0
0.131335,1
0.101957,1
0.298119,1
0.146864,1
0.10881,0
0.108336,1
0.146864,0
0.0338993,1
0.000991688,1
0.301582,1
0.0952057,1
0.0732178,1
0.0146908,0
0.0293343,0
0.0831013,1
0.0732431,0
0.0945144,1
0.274922,1
0.192289,1
0.0088395,0
0.219613,1
0.0637916,0
0.0723665,0
0.0756843,0
0.0927926,1
0.128904,0
0.0567945,1
0.0572076,1
0.0842528,0
0.0347261,1
0.104578,1
0.00634035,0
0.0655195,1
0.111615,0
0.119317,0
0.164635,1
0.0772404,0
0.0917492,0
0.0702604,1
0.117866,0
0.00595013,0
0.124285,0
0.0779448,0
0.0275769,1
0.0512557,0
0.03319,1
0.118603,0
0.0223301,0
0.112885,1
0.258931,1
0.0103359,0
0.134163,0
0.0676116,0
0.0987583,0
0.00881661,0
0.00965881,0
0.00955785,0
0.0137652,0
0.0129253,1
0.240908,1
0.104658,0
0.0304384,1
0.0155916,0
0.0733442,1
0.21421,0
0.0252221,0
0.0157887,1
0.0883993,0
0.0374879,1
0.00878216,0
0.00877602,0
0.126962,0
0.0507825,0
0.0143122,1
0.0548496,0
0.030161,0
0.0287442,0
0.0147899,0
0.109513,1
0.240659,1
0.245444,1
0.015728,1
0.0360726,0
0.0993179,0
0.146171,0
0.140179,1
0.0685397,1
0.121203,1
0.0553705,1
0.0387982,0
0.0228917,1
0.00280492,0
0.0328916,1
0.213341,1
0.0419527,0
0.00623428,0
0.0014864,0
0.219478,0
0.0695314,1
0.00765171,1
0.0564853,1
0.0371259,1
0.00161247,1
0.0938689,0
0.0744436,0
0.109431,1
0.0401623,1
0.0882829,0
0.0248812,0
0.0826364,1
0.0601942,1
0.118845,0
0.0301833,0
0.168845,0
0.21771,1
0.244424,0
0.0501792,1
0.0531255,1
0.115165,1
0.220488,1
0.077261,0
0.075537,1
0.161717,1
0.111016,0
0.0691323,1
0.211008,1
0.0872748,1
0.0565129,1
0.134747,0
0.165878,1
0.201582,0
0.129633,1
0.066618,1
0.121094,0
0.226332,0
0.240363,1
0.0515444,1
0.120311,1
0.0472639,0
0.129354,0
0.0522556,1
0.0475405,0
0.000328291,1
0.221086,1
0.232133,0
0.00073408,0
0.00251094,1
0.0469015,1
0.241943,1
0.227082,0
0.0218014,1
0.0541035,1
0.101228,1
0.213228,1
0.177308,1
0.0223301,1
0.119928,1
0.0115276,0
0.0638372,0
0,0
0.130575,0
0.105877,1
0.0641626,1
0.0523257,0
0.0259147,0
0.165064,0
0.0247729,0
0.00269218,0
0.0908197,0
0.169297,1
0.088964,1
0.0376337,1
0.0150889,0
0.0346127,1
0.0914298,1
0.0675597,0
0.0569054,1
0.0109922,1
0.00103815,1
0.176192,1
0.118181,0
0.0771862,0
0.0528549,1
0.00123382,1
0.00368871,1
0.0805133,1
0.0309685,1
0.0191065,0
0.196852,1
0.0656534,0
0.0844978,1
0.137927,1
0.0755558,1
0.0707085,1
0.0103412,0
0.0822907,0
0.0546239,0
0.0786628,0
0.149398,0
0.00972345,0
0.0238279,1
0.185103,1
0.0294663,1
0.074143,0
0.0495387,0
0.0534751,0
0.0270103,1
0.0918334,0
0.00713419,1
0.0432703,1
0.0107968,1
0.0149818,0
0.150715,1
0.0274484,0
0.0171278,1
0.0488177,1
0.0232374,0
0.101857,0
0.0453364,1
0.00808322,0
0.000232137,1
0.0439905,1
0.0493029,1
0.0394176,1
0.145525,0
0.00634247,0
0.130139,1
0.0368271,0
0.0158249,0
0.0214202,1
0.0658361,1
0.095814,0
0.139045,0
0.0375984,1
0.0450034,1
0.0310727,1
0.0125665,1
0.0610772,1
0.127833,1
0.152804,0
0.0734623,1
0.0043008,0
0.00302669,0
0.0971492,0
0.0661065,0
0.0079335,0
0.0101346,1
0.0184563,1
0.0185437,1
0.103037,0
0.0256088,0
0.00643734,0
0.021224,0
0.0794029,1
0.0217655,1
0.144897,0
0.127069,0
0.0810177,1
0.131691,1
0.150056,0
0.109905,0
0.115195,1
0.149867,0
0.136936,1
0.0220862,1
0.0357825,1
0.0987392,1
0.108104,1
0.128827,0
0.163573,0
0.0592909,1
0.0426318,0
0.139593,0
0.000232137,0
0.112714,1
0.0559547,1
0.0309293,1
0.124058,1
0.0259464,0
0.029172,0
0.0176927,0
0.0519925,1
0.0645048,0
0.0762138,0
0.098983,0
0.0155661,0
0.00518294,0
0.151158,1
0.133876,1
0.0450638,0
0.0564208,1
0.114621,1
0.071925,0
0.0153675,1
0.0552949,0
